Participante,Local,visitante,resultado
Colby,Argentina,Brasil,Argentina
Colby,Chile,Brasil,Brasil
Colby,Chile,Argentina,empate
Colby,Francia,Senegal,Senegal
Colby,Russia,Polonia,Russia
Colby,China,Polonia,China
Colby,CoreaDelSur,CoreaDelNorte,empate
Colby,Panama,Canada,Canada
Juan,Argentina,Brasil,Argentina
Juan,Chile,Brasil,Brasil
Juan,Chile,Argentina,empate
Juan,Francia,Senegal,Senegal
Juan,Russia,Polonia,Russia
Juan,China,Polonia,China
Juan,CoreaDelSur,CoreaDelNorte,CoreaDelSur
Juan,Panama,Canada,Panama
